Nbr_cara;Descript;Reponse
4;Félin de petite taille, au pelage soyeux, généralement domestique                                                                                                       .;chat
4;"le ""roi des animaux""                                                                                                                                                                                         .  ";lion
4;Mammifère carnivore sauvage, qui ressemble à un grand chien                                                                                                           .;loup
4;Mammifère ruminant à cornes rameuses et caduques                                                                                                                            .;cerf
4; liquide à base de sucre à partir de fleurs butinées                                                                                                                                    .;miel
4; Aliment fait de farine, d'eau, de sel et de levain                                                                                                                                        .;pain
4;Préparation alimentaire plus ou moins consistante et souple, à base de farine                                                                                  .;pate
4;astre le plus proche de la Terre et le plus brillant après le Soleil                                                                                                             .;lune
4;véhicule terrestre composé de deux roues alignées l'une derrière l'autre                                                                                            .;vélo
4;activité de déchiffrer un texte écrit dans un alphabet et dans une langue et comprendre ce qui est écrit                                     .;lire
4;roche fondue qui est produite par un volcan lors d'une éruption                                                                                                           .;lave
5;animal de compagnie ayant 4 pattes                                                                                                                                                             .;chien
5;insecte volant qui pique, différent des abeilles                                                                                                                                           .;guepe
5;sorte de petit ours australien, grimpeur, poilu avec une fourrire soyeuse, ayant aussi de grandes oreilles                                  .;koala
5;petit mammifère herbivore, reconnaissable à ses longues oreilles et à sa petite queue touffue qui aime sauter et rebondir  .;lapin
5;animal qui rumine et qui donne du lait                                                                                                                                                         . ;vache
5;animal de la savane, à 4 pattes, ayant un pellage rayé noir et blanc                                                                                                      .;zèbre
5;siège de rois ou de rennes                                                                                                                                                                               .;trone
5;nationnalité d'une personne née en Belgique                                                                                                                                             .;belge
5;bordure rigide enttourant des oeuvres d'art par exemple                                                                                                                       .;cadre
5;il faut apprendre la ….. d'Histoire pur demain                                                                                                                                            .;leçon
5;on m'utlise pour décorer un pièce, je suis donc un …                                                                                                                                .;décor
6;il est petit comme une …                                                                                                                                                                                  .;fourmi
6;il court aussi vite qu'un jaguar                                                                                                                                                                        .;jaguar
6;animal qui dort la journée et qui se reveille la nuit                                                                                                                                    .;hiboux
6;prédateur marin                                                                                                                                                                                                .;requin
6;…... Anniversaire                                                                                                                                                                                                .;joyeux
6;Wow! Elle nage comme une …..                                                                                                                                                                     .;sirène
6;pays de la tour Eiffel                                                                                                                                                                                         .;France
6;fruit de la vigne                                                                                                                                                                                                  .;raisin
6;mollusque aynt des ventouses                                                                                                                                                                                .;poulpe
6;insecte aillé;mouche
6;c'est le fruit préféré des singes!                                                                                                                                                                     .;banane
7;après le plat, place au ….                                                                                                                                                                                 .;dessert
7;j'ai soif, il me faut une….                                                                                                                                                                                  .;boisson
7;animal marin ayant des nageoires                                                                                                                                                                . ;poisson
7;pour rectifier la vue                                                                                                                                                                                         .;lunette
7;mammifère de la famille des camélidés                                                                                                                                                      .;chameau
7;animal très gracieux. Avec ses pattes longues et fines, elle est reconnue pour sa grande rapidité                                                . ;gazelle
7;Animal invertébré articulé                                                                                                                                                                               .;insecte
7;Panthère d'Afrique.                                                                                                                                                                                          .;Léopard
7;animal fantastique ayant un ocrne sur la tête                                                                                                                                            .;Licorne
7;Reptile à corps cylindrique très allongé                                                                                                                                                       .;serpent
7;Qui vit en liberté dans la nature                                                                                                                                                                    .;sauvage
8;j'ai besoin d'appeller quelqu'un , tu peux me preter ton…                                                                                                                      .;téléphone
8;aliment préféré des écureuils                                                                                                                                                                         .      ;noisette
8;fruit rond, vert a l'exterieur et rose à l'interieur                                                                                                                                         . ;pastèque 
8;Baie noire                                                                                                                                                                                                            .;myrtille
8;Gousse allongée du vanillier                                                                                                                                                                           .    ;vanille
8;Fruit du pistachier                                                                                                                                                                                             .;pistache
8;Palmier au tronc élancé qui produit la noix de coco                                                                                                                                  .;cocotier
8;region nordaise française                                                                                                                                                                                .;bretagne
8;les enfants aiment que l'on leurs lise une ….. avant de dormir                                                                                                               . ;histoire
8;alimente le telephonne portable                                                                                                                                                                   .;chargeur
8;nationnalité d'une personne née en France                                                                                                                                               .;français 
